fold_id	outer_fold	inner_fold	train_precision	train_recall	train_f1_score	train_accuracy	train_auc	train_loss	val_precision	val_recall	val_f1_score	val_accuracy	val_auc	val_loss	test_precision	test_recall	test_f1_score	test_accuracy	test_auc	test_loss
3_4	3	4	0.8438187507620475	0.8038908929799989	0.8200767679138459	0.8770491803278688	0.8826374323780826	1.9601294266276712	0.6408963585434173	0.6097701149425288	0.6173382173382174	0.7962962962962963	0.7693612479474549	3.2475229964382577	0.7258928571428571	0.7113364055299539	0.7174603174603174	0.7833333333333333	0.8227131651322781	3.45418354317101
3_5	3	5	0.8693845970717771	0.8287965677271432	0.8467222048050036	0.8872950819672131	0.8965007206713945	1.7967853176761397	0.7039784946236559	0.6166666666666666	0.6428608115048793	0.8148148148148148	0.7820805860805861	2.9522936439628977	0.7099078341013825	0.6856221198156682	0.6836440978376462	0.7833333333333333	0.811096715060056	3.45418354317101
3_6	3	6	0.8850690343766985	0.8434958451034633	0.857469113070352	0.8954918032786885	0.9048862067875536	1.6661100305149148	0.8642857142857142	0.8095238095238095	0.818158508158508	0.9074074074074074	0.8938333333333335	1.4761468815860976	0.7058928571428571	0.6613364055299539	0.6799999999999999	0.7666666666666667	0.7958949833140962	3.7198899603988336
3_7	3	7	0.8597990042774647	0.8246897875904633	0.8405370252287098	0.8872950819672131	0.8949960222197145	1.7967853176761401	0.7395402298850574	0.7261904761904762	0.7261403508771929	0.8518518518518519	0.8429386446886447	2.3618349390121782	0.7464285714285714	0.732073732718894	0.7380952380952381	0.8166666666666667	0.8387040176322953	2.922770708715361
3_8	3	8	0.8642087628134141	0.8193919450593625	0.8365416218357395	0.8872950819672131	0.8920468782813282	1.7967853176761401	0.667741935483871	0.6690476190476191	0.6350013451708366	0.7407407407407407	0.796662087912088	4.133211053864337	0.7379807692307693	0.6946697388632872	0.7089947089947091	0.7833333333333333	0.8147018929905713	3.45418354317101
3_9	3	9	0.8388779901937797	0.8059018601410572	0.8180616348194052	0.8790983606557377	0.8842280935131978	1.927460604837365	0.898974358974359	0.8952380952380953	0.8936026936026936	0.8888888888888888	0.9321657509157509	1.7713762340614578	0.7341935483870967	0.7256221198156682	0.7285996786552961	0.8	0.8333042981372042	3.1884771259431854
4_0	4	0	0.865871817712973	0.8025463275775776	0.8307509916550208	0.8788501026694046	0.8812424977196418	1.931418429243172	0.6184331797235022	0.5457509157509157	0.5710299869621903	0.7272727272727273	0.7317641723356008	4.347923310210053	0.6307278742762613	0.6513461538461538	0.6397768897768898	0.8	0.801169607579182	3.188477125943185
4_1	4	1	0.8676671826962055	0.8226519449832995	0.843303400708262	0.891170431211499	0.8943646946994963	1.7350030078837946	0.8636363636363636	0.7762068965517241	0.8078299120234604	0.8363636363636363	0.8587009438035901	2.6087540338097504	0.6446794871794872	0.6513461538461538	0.6458916083916083	0.8	0.7994500308596054	3.188477125943185
4_2	4	2	0.8536698451565128	0.82180037249086	0.8360312175833269	0.8811475409836066	0.8922387716362536	1.8947917830470586	0.8427705627705627	0.7697701149425288	0.7548546630639482	0.8703703703703703	0.8663816561107203	2.066605586536818	0.7826262626262628	0.7322115384615385	0.726050616050616	0.8333333333333334	0.843731161962545	2.6570642914875378
4_3	4	3	0.8658445613387474	0.8215514771818915	0.8412584240284996	0.8913934426229508	0.8936876004973933	1.7314476740955274	0.8957575757575758	0.8099999999999999	0.8296364567332308	0.8888888888888888	0.8849591836734694	1.7713762340614578	0.6078341013824884	0.6359615384615385	0.6178095238095238	0.7833333333333333	0.7916591180686925	3.4541835431710086
4_4	4	4	0.8403605047889178	0.8030075458478901	0.820206777476215	0.875	0.8821274508978572	1.9927982484179776	0.6958333333333333	0.7126436781609196	0.7038251366120218	0.8148148148148148	0.823859254046446	2.9522936439628977	0.6708699633699634	0.6913461538461538	0.6742465867465868	0.8166666666666667	0.8212357451453197	2.922770708715362
4_5	4	5	0.8583068783068782	0.8280632135096916	0.8418063830788263	0.8831967213114754	0.8955499188591057	1.8621229612567525	0.7258852258852259	0.6190476190476191	0.6215238095238095	0.8148148148148148	0.7850338827838828	2.952293643962897	0.6208333333333333	0.6359615384615385	0.6269545454545454	0.7833333333333333	0.7899058713154459	3.4541835431710086
4_6	4	6	0.8946599102805468	0.8409650401807269	0.8657614408660186	0.8934426229508197	0.9027020803337459	1.6987788523052212	0.7533333333333333	0.7333333333333333	0.7231034482758621	0.8703703703703703	0.8485100732600731	2.066605586536818	0.7780128205128205	0.7913461538461538	0.776497668997669	0.85	0.8749057788153534	2.3913578742597137
4_7	4	7	0.8614389708100406	0.8227110867765746	0.8402795878585353	0.8831967213114754	0.8928692388828322	1.8621229612567527	0.7892307692307692	0.75	0.757992337164751	0.8703703703703703	0.8564624542124541	2.066605586536818	0.6115584415584415	0.6205769230769231	0.6103729603729604	0.7666666666666667	0.7786758050853797	3.7198899603988327
4_8	4	8	0.8554931193371742	0.8002745675829482	0.8247865299828838	0.8770491803278688	0.8801877502570369	1.9601294266276712	0.7058333333333333	0.6523809523809524	0.673982683982684	0.7592592592592593	0.7878040293040293	3.8379817013889777	0.7223310023310023	0.7013461538461538	0.7072927072927074	0.8166666666666667	0.8244500308596052	2.922770708715362
